# Paraphrase 016
# English A | 中文 A | English B | 中文 B
it doesn't matter | 没关系 | it's not a problem | 不是问题
first time | 第一次 | never done before | 从来没做过
become a member | 成为会员 | join | 加入
complete a form | 完成表格 | fill in a form | 填写表格
need articles | 需要文章 | look for writers | 寻找作者
beautiful mountains and fields of flowers | 漂亮的山和花田 | view | 风景
the coach was crowded | 长途客车很拥挤 | didn't enjoy the journey | 不喜欢这趟旅程
found things to take back home for friends | 找到可以带回去给朋友的东西 | bought some gifts | 买了一些礼物
bad weather | 坏天气 | raining | 下雨
excited | 兴奋的 | fantastic | 极好的
first time | 第一次 | new | 新的
I can see the sea from my apartment | 我能从我的公寓看到大海 | live by the water | 住在水边
on buses and planes | 在车上和飞机上 | travel | 旅行
less noise | 更少的噪音 | quiet | 安静的
other players | 其他队员 | club members | 俱乐部会员
the best thing | 最好的事情 | like most | 最喜欢
visit someone | 拜访某人 | see grandma | 看奶奶
unfortunately | 不幸地 | sorry | 遗憾
sandwich | 三明治 | snack | 零食；点心
school history project | 学校的历史课题 | schoolwork | 学校作业
in a band | 在乐队 | play music | 演奏音乐
granny and grandad | 爷爷奶奶 | grandparents | 祖父母
go to a department store | 去百货商店 | go shopping | 去购物
castle | 城堡 | old building | 老建筑
a time of year | 一年中的一段时间 | autumn | 秋天
well-known | 众所周知的 | famous | 有名的
wet weather | 潮湿的天气 | rain | 下雨
without paying a lot | 没有付很多钱 | doesn't cost much | 没有花费很多
haven't heard of it | 没有听说过它 | not well-known | 不知名
on foot | 走路 | walk | 走路
