# Paraphrase 014
# English A | 中文 A | English B | 中文 B
famous | 有名的 | well-known | 众所周知的
receive | 收到 | get | 得到
You get a packet of sweets | 你得到一包糖果 | she gives you a present | 她给你一份礼物
enjoy | 享受 | have fun with | 和……一起开心玩
classmates | 同学 | friends | 朋友
£45 is too much | 45 英镑太贵了 | too expensive | 太贵了
can win | 可以赢得 | enter a competition | 参加一个比赛
something to carry all the stuff to eat | 装食物的物品 | picnic bag | 野餐包
bats and balls | 球棒和球 | sports equipment | 运动装备
art equipment | 艺术装备 | pencils and paints | 铅笔和颜料
everyone takes part, answering questions in teams | 每个人都参加，分组回答问题 | quiz | 问答比赛；小测验
the book ends | 书的结尾 | the last few pages | 最后几页
enjoy the pictures | 喜欢图片 | love looking at the drawings | 爱看图画
different from my own | 跟我自己的不一样 | I know nothing about | 我一点都不了解
not very well-known | 不出名 | not many people have heard it | 没有很多人听说过它
sad | 伤心的 | quite upset | 相当沮丧
father and mother | 父亲和母亲 | parents | 父母亲
do well in studies | 在学习中表现好 | be successful at school | 在学业中成功
matters more | 更重要 | the most important thing | 最重要的事
at least 11, less fun for people over 13 | 至少 11 岁，超过 13 岁趣味就少了 | best for ages 11 to 13 | 11 到 13 岁最适合
hard | 困难的 | difficult | 困难的
sailing | 航行 | go out on a boat | 坐船出去
towel | 毛巾 | something to dry yourself with | 用来擦干自己的东西
across the road | 在马路对面 | opposite | 在对面
get / have a cold | 感冒 | ill | 生病
farm | 农场 | see animals outside | 看在外面的动物
I'd like to get some sleep | 我想去睡觉 | tired | 累的
big / small | 大的／小的 | size | 尺寸
couldn't afford it | 买不起 | too expensive | 太贵了
big shop | 大商店 | large store | 大商店
borrow books | 借书 | library | 图书馆
flat | 公寓 | apartment | 公寓
travel to different countries | 去不同国家旅行 | go around the world | 去环游世界
a family of musicians | 音乐家庭 | parents are in a rock group | 父母在一个摇滚乐队里
was paid | 被付钱 | make extra money | 赚外快
15 | 15 岁 | teenager | 青少年
has his own show on the radio | 在电台有自己的节目 | works for a radio station | 给电台工作
musicians | 音乐家 | pop bands | 流行乐队
band | 乐队 | rock group | 摇滚团体
highway | 高速公路 | road | 公路
near | 在……附近 | close to | 离……近
from other countries | 来自其他国家 | from around the world | 来自世界各地
