# Paraphrase 017
# English A | 中文 A | English B | 中文 B
want to visit for a second time | 想要第二次去 | plan to go back | 计划再回去
surprised | 惊讶的 | couldn't believe | 不相信
one of the best things | 最好的事情之一 | enjoy | 享受
jewellery | 珠宝首饰 | earrings and a bracelet | 耳环和手镯
decide which one to use | 决定使用哪一个 | choose | 选择
have riding lessons | 上骑马课 | learn a new sport | 学一项新的运动
sit on the grass and read books | 坐在草地上读书 | go to the park | 去公园
the pizza is disgusting | 比萨饼很恶心 | it's badly cooked | 它做得不好
the woman who lives next door | 住在隔壁的女人 | neighbour | 邻居
a net and a ball | 网和球 | sports equipment | 运动设备
my friends couldn't believe how good I was | 我的朋友们不相信我现在有多厉害 | improved | 进步了
outside the shopping centre | 在购物中心外面 | near some shops | 在一些商店附近
the instructions are clear | 指导很清晰 | easy to understand | 容易理解
something to drink | 喝的东西 | water | 水
a weekend course | 周末的课程 | morning classes every Saturday | 每周六的早课
teach students | 教学生 | students learn | 学生学习
the whole family | 全家人 | with parents | 和父母一起
on the internet | 在网上 | online | 在线
take the food home | 带食物回家 | pack up the dishes and enjoy them with family | 打包菜肴并和家人一起享用
shopping trip | 购物之旅 | go to the local market to buy fresh food | 去当地市场买新鲜食物
teach you a lot | 教你很多 | useful | 有用的
went to bed early | 很早睡觉 | slept a lot | 睡了很多
frightened | 感到害怕的 | scary | 令人害怕的
cost so much | 花了很多钱 | expensive | 贵的
loud | 大声的 | noisy | 嘈杂的
amazing | 令人惊叹的 | exciting | 令人兴奋的
made us laugh | 使我们笑 | funny | 搞笑的
met some nice people | 遇到一些很好的人 | made some new friends | 交了一些新朋友
crowded | 拥挤的 | too many people | 太多人
sounds a bit scary | 听起来有点可怕 | worried | 担忧的
improved | 提高了 | get better at something | 在某方面变得更好
