# Paraphrase 015
# English A | 中文 A | English B | 中文 B
prize | 奖品 | something the winner gets | 获胜者可以得到的东西
arrive | 到达 | get to | 到达
a person she knows | 一个她认识的人 | grandma | 奶奶／外婆
from 500 to 1000 | 从 500 到 1000 | between 500 and 1000 | 在 500 到 1000 之间
500 or less | 500 或者更少 | at most 500 | 最多 500
uncle's son | 叔叔／舅舅的儿子 | cousin | 堂弟／表弟
amazing | 令人惊讶的 | surprised | 惊讶的；意外的
need to be quieter | 需要更安静一点 | too loud | 太大声了
play an instrument | 演奏乐器 | be good at music | 擅长音乐
an excellent swimmer | 优秀的游泳者 | be able to swim | 能游泳
join | 加入 | become a member | 成为会员
love | 爱 | be interested in | 对……感兴趣
what she teaches | 她教的东西 | subject | 学科
can be successful | 可以成功 | can do it | 能做到
want to be a science teacher | 想要成为一名科学老师 | choose his future career | 选择他未来的职业
improve quickly | 提升很快 | soon understand them better | 很快更好地理解它们
be good at drawing | 擅长画画 | be able to draw wonderful pictures | 可以画很棒的画
came first | 名列第一 | win a competition | 赢得一场比赛
sit quietly by myself | 我一个人安静地坐着 | be alone | 独自一人
worry | 担忧 | be a bit scared | 有一点害怕
won't remember | 不会记得 | forget | 忘记
words | 话 | what she has to say | 她需要说的东西
excited | 兴奋的 | happy | 开心的
family | 家人 | aunt and uncle | 叔叔和婶婶
cycle | 骑自行车 | by bike | 骑自行车
watch a video | 看了一个视频 | saw a film | 看了一部影片
a drink | 一杯饮料 | a glass of juice | 一杯果汁
big enough for two people to sleep in | 大到足够睡两个人 | tent | 帐篷
something to put on the wall | 张贴在墙上的东西 | poster | 海报
can put my school books in it | 可以把学校的书放进去 | backpack | 背包
keep me warm in winter | 让我在冬天保持温暖 | scarf | 围巾
it's the right size for my arm | 尺寸正好适合我的手臂 | bracelet | 手链；手镯
drive us | 开车载我们 | give us a lift | 让我们搭便车
copy down | 抄写 | make a note | 做笔记
welcome parents and friends | 欢迎父母和朋友 | students can invite visitors | 学生可以邀请参观者
excited | 激动的；兴奋的 | couldn't wait to | 迫不及待
a lot of traffic | 交通拥堵 | cars and buses make walking difficult | 汽车和巴士让走路变得困难
prepare carefully | 认真地准备 | find out all I can about it | 尽可能了解它的一切
favourite | 最爱的 | like most | 最喜欢的
outside Rome | 在罗马外面 | countryside | 乡下
